country_iso3,country_name,year,gdp_usd,gdp_per_capita_usd,gni_usd,population,total_imports_usd,total_exports_usd,merchandise_imports_usd,merchandise_exports_usd,trade_pct_gdp,trade_balance_usd,tariff_weighted_all,tariff_simple_all,tariff_weighted_manuf,tariff_weighted_primary,food_imports_pct,fuel_imports_pct,manuf_imports_pct,food_exports_pct,fuel_exports_pct,manuf_exports_pct,import_concentration_hhi,export_concentration_hhi,exchange_rate_lcu_per_usd
DEU,"Germany",2015,3425099578746.09,41929.7549110722,3492650052066.01,81686611,1204648073431.64,1458592274325,1051132000000,1326206000000,77.7565815686922,253864583308.22,2.02,2.73,2.26,1.69,8.20354782355462,9.25867351619041,72.7229969219112,5.62704511314724,2.13441977383123,84.234696360734,83.3573342533689,83.8248948574093,0.901296423367096
DEU,"Germany",2016,3536787895179,42948.9381932694,3638261024242.42,82348669,1215609853746.31,1472560807845.53,1055326000000,1334355000000,76.0059902166055,257052182218.316,2.09,2.48,2.12,2.1,8.40565874478588,7.16715440298352,74.0988683091278,5.70920564676181,1.64382508639625,84.8253434781644,83.445423214758,83.6682044827597,0.903421436257263
DEU,"Germany",2017,3765351626105.89,45553.9341495339,3861080809000.01,82657002,1327357307454.12,1589089750187.06,1162907000000,1448191000000,77.4548394742448,265989346757.769,1.96,2.48,2.08,1.84,8.19000478686186,8.03921132689532,76.3102945445697,5.59578187629463,1.79687015135703,86.3191108266153,83.4098317828477,83.1156743469305,0.885205508269372
DEU,"Germany",2018,4055433215301.96,48916.1686612154,4214947102850.19,82905782,1485437649157.65,1723433049609.41,1284353000000,1560539000000,79.1252260463654,242877564842.629,1.83,2.46,1.98,1.59,7.76013449050903,8.84880812907979,72.9418783058653,5.32636517487064,2.06424587714665,85.2550400265207,83.6360073231357,83.0330119015722,0.846772667108111
DEU,"Germany",2019,3959894794039.21,47656.199739747,4106477666878.42,83092962,1454588084839.21,1676629137011.76,1233978000000,1489412000000,79.0732427175683,222712633094.613,1.84,2.55,2.01,1.64,7.80471254183062,8.4888514972384,73.761454628271,5.4490902324704,2.21694997936172,85.0743131475498,83.6646623739364,82.9099580844024,0.893276257067409
DEU,"Germany",2020,3941398957073.94,47394.8734504469,4041530721161.1,83160871,1332733837256.03,1541867660412.46,1171782000000,1382533000000,72.9335327120137,211436040446.136,1.48,1.71,1.8,0.83,8.55111464353651,6.22005932350923,75.238481430674,5.9154140380691,1.81843784726771,84.8929623650951,83.147949932864,82.3554938685975,0.875506396987998
DEU,"Germany",2021,4355251953410.78,52349.2459994422,4500885133271.25,83196078,1628851031193.77,1851846071996.09,1411439000000,1627375000000,79.9195348609851,227415846453.101,1.39,2.24,1.43,1.34,7.7678324232926,8.72065735754442,72.470580144152,5.50171427029631,2.60156267352484,84.2248636533673,82.4823772645672,82.9012722135309,0.84549413889045
DEU,"Germany",2022,4201021706478.62,50506.5179638543,4326585119992.23,83177813,1813049636001.95,1916859170749.03,1583619000000,1676472000000,88.7857542130501,98674048916.0851,1.33,1.95,1.64,0.84,7.40331210711703,12.671943221466,69.9033828599533,5.68789708172097,3.55065871383029,82.8939619404076,81.6194907520441,83.6817169752654,0.949623753156941
DEU,"Germany",2023,4562207532490.28,54776.7668235491,4709991003415.77,83287273,1779045873341.21,1960255682615.72,1467598000000,1702278000000,81.9625483787634,177612175117.31,,,,,8.39736226374845,8.65233705017107,73.5118347688029,5.98632344026706,2.0446709964022,84.7513724931676,83.1572619283037,83.0690773124167,0.924839558470698
DEU,"Germany",2024,4685592577804.69,56103.7323182554,4847009059489.84,83516593,1764438191610.94,1941431210621.87,1414153000000,1676408000000,79.0907305894936,179674618443.635,,,,,9.16027792841592,7.99268368320553,73.4365446581308,6.26374809525555,2.07454936630529,84.1312732546074,,,0.923889546117607
FRA,"France",2015,2442483452642.5,36702.4323733379,2491911919065.98,66548272,776983112152.851,774108364253.242,570758000000,506264000000,63.5046871956484,-9463888994.342,2.02,2.73,2.26,1.69,9.43072623436497,10.671575842349,76.1441747038571,12.6447322224616,2.95528102932916,78.7323283725094,84.0445357244614,81.1463832945157,0.901296423367096
FRA,"France",2016,2470407619777.13,37024.2157133669,2520257665605.77,66724104,786690099965.255,778134181664.243,567657000000,501179000000,63.3427564383351,-12213190138.5206,2.09,2.48,2.12,2.1,9.81267656119536,8.39759658369512,78.2723721965555,12.4319612984473,2.30761310498294,79.6980182102876,84.9727882410183,82.1496550952629,0.903421436257263
FRA,"France",2017,2588868323334.71,38687.1626407164,2641361331529.89,66918020,856501561408.354,836510836277.649,619334000000,535298000000,65.3958481559711,-19613749658.1629,1.96,2.48,2.08,1.84,9.66271995845288,9.81939201488458,76.8047832967539,12.5457742920585,2.80075972124448,79.9472167846139,84.5442794025308,82.2019965362756,0.885205508269372
FRA,"France",2018,2781576320884.39,41418.1766484844,2844433805623.21,67158348,942517078079.137,915638789626.901,676441000000,582222000000,66.8022607812266,-28418466030.8181,1.83,2.46,1.98,1.59,9.41074345219893,11.2949556021461,75.4497267698503,12.3120932392312,3.29246555293983,79.7942114817241,84.0315568498892,82.858230508068,0.846772667108111
FRA,"France",2019,2722793515171.76,40408.2848574751,2804094343919.21,67382061,913209092423.528,895514342479.214,654658000000,570951000000,66.4289607281749,-15554985769.9184,1.84,2.55,2.01,1.64,9.3250111557903,10.3438415303634,76.6724894969431,12.3511913816591,2.77533644087224,80.5034599709211,83.8917497487115,83.379905891284,0.893276257067409
FRA,"France",2020,2647926055110.05,39169.8606000707,2701220126016.35,67601110,801836174373.076,756174143647.162,581297000000,488637000000,58.8388907240647,-45868544727.8586,1.48,1.71,1.8,0.83,10.5068805590099,7.24065896019924,78.5486717038212,13.9970743864421,2.17631318472775,79.2210459691173,83.5438886208691,83.6337654502701,0.875506396987998
FRA,"France",2021,2966433692008.09,43725.0999521245,3059214347002.28,67842811,964103785591.845,928139254791.07,715082000000,585021000000,63.788482630872,-30254890619.4442,1.39,2.24,1.43,1.34,9.66196137586234,11.0278088999018,75.1330959370724,13.6676639948154,3.67766725739694,78.3001810433008,83.2085359031818,83.003820109892,0.84549413889045
FRA,"France",2022,2794788137066.94,40988.6396406579,2881607679781.53,68184457,1099664152806.23,1023340977697.09,823216000000,620461000000,75.9630077981996,-70150448895.429,1.33,1.95,1.64,0.84,8.89679826129939,20.1483919488581,67.1061078594503,13.5361570866135,5.90288840625744,76.4203035797761,82.5783271740761,84.4741411842276,0.949623753156941
FRA,"France",2023,3056250648138.29,44700.1384177544,3127007245215.74,68372286,1105442442028.06,1053069574154.53,788177000000,651122000000,70.6261450610225,-41937166656.0055,,,,,9.82996957617559,14.5629042234337,72.0194478418974,13.0524619487553,5.1259997747409,77.9642837707552,83.2079789515244,83.6764184334263,0.924839558470698
FRA,"France",2024,3160442622465.08,46103.0840855884,3221122928066.09,68551653,1081453951068.75,1071066237472.11,751836000000,640518000000,68.1081875443744,-3821737994.0981,,,,,10.5960747051011,12.6680112174847,72.874227076784,13.3356372717843,4.40931574185064,78.0103124112614,,,0.923889546117607
GBR,"United Kingdom",2015,2945579890258.46,45256.040227057,2881766142635.93,65087000,861463440127.243,821200386071.742,630003000000,465850000000,57.125044605439,-44424260097.0147,2.02,2.73,2.26,1.69,9.77794092005688,8.08502272933232,73.7882577630999,6.17567024852601,7.02213106641059,71.6481714245796,78.2664639129186,84.4390862165377,0.654545478931426
GBR,"United Kingdom",2016,2706807606538.73,41258.5374285695,2643709003529.2,65606000,833100578279.813,786640412453.566,636731000000,410856000000,59.8395315138259,-50798842587.0321,2.09,2.48,2.12,2.1,9.26808448687487,6.28115269131933,69.9185835846931,6.83366051304608,6.25609635660007,76.1812352703602,79.2934252308272,85.9191679924677,0.740634463697084
GBR,"United Kingdom",2017,2699118387873.1,40918.0520870944,2670285794450.21,65964000,869550502969.043,836020370556.138,641002000000,440997000000,63.1899245764158,-35924431558.9295,1.96,2.48,2.08,1.84,9.60554351444277,8.11774178211437,70.6809763863806,6.64400665272059,7.96909103032825,74.0197611871942,79.4506266565401,84.8394119241593,0.776976682344123
GBR,"United Kingdom",2018,2897028009916.05,43704.3162296687,2858000906622.02,66287000,957619509260.342,922834772428.163,672450000000,486439000000,64.9097721959201,-39577861194.8046,1.83,2.46,1.98,1.59,9.66088187367103,10.0872725216388,70.0932234577577,6.33004538991663,9.45873392804059,68.9892207680565,78.8284576398381,83.4090760558786,0.749531540259847
GBR,"United Kingdom",2019,2875710080015.3,43160.6843971799,2872826661673.5,66628000,951880342949.163,917433768894.232,696208000000,460026000000,65.0035664177054,-39829637744.0491,1.84,2.55,2.01,1.64,9.15488692611623,8.19155386700326,66.2739038268904,6.66646706676357,8.59897730540144,71.7820575556781,78.9363587435992,83.608154672897,0.783445110011929
GBR,"United Kingdom",2020,2724001478304.59,40815.1255364787,2666343754706.29,66740000,795714534395.164,815801724783.58,638251000000,399529000000,59.1598893030611,13846959465.6455,1.28,1.88,2.07,0.81,10.1081871798978,5.30993604082167,63.8979811219937,7.6188345905585,7.06424366401815,68.3049140365334,76.7339695560994,84.8883897900986,0.779999576697153
GBR,"United Kingdom",2021,3194559188925.93,47695.6491523474,3194746242367.29,66978000,934375952193.96,935667446175.151,695115000000,472147000000,58.53838629291,1419524369.2755,0.72,1,0.69,1.02,9.40725073770577,10.2697318433269,64.1601183773778,6.41938576712047,8.32935578799489,62.2455188736128,75.1306718861793,83.7702343351928,0.727064944688323
GBR,"United Kingdom",2022,3181244350465.41,47034.7795621476,3182928064394.96,67636000,1117793765633.44,1083593172366.25,823592000000,546151000000,69.1989264413981,-38780961681.3992,1,1.13,0.71,1.81,9.06213951918742,16.9042090244701,61.1307767606123,6.34928809078005,12.3109041508633,55.2358295612471,77.1715055313028,82.714045986793,0.811301715827773
GBR,"United Kingdom",2023,3420796653789.08,49919.6896621586,3363685680515.58,68526000,1131603446867.99,1091653856200.64,791544000000,525016000000,64.9923841747803,-40126943255.7849,,,,,9.94062516865512,11.8440289346224,64.1151132270877,6.54486658290483,8.96373321933615,60.4960280048913,79.5846563769874,84.1972151691781,0.804538906734353
GBR,"United Kingdom",2024,3695539513534.15,53341.3131094262,3659245455767.23,69281000,1174549941083.14,1147692057154.76,820194000000,524286000000,62.839052044584,-26755497764.9262,,,,,10.3420016057362,10.1144068614397,61.6652751635021,6.66464200567159,8.57390412775903,60.8469978362938,,,0.782414580986262
IDN,"Indonesia",2015,860854232686.214,3288.22269725538,832298853324.924,261799249,178863652305.893,182158298802.029,142695000000,150366000000,41.9376402415294,5351899012.23087,,,,,9.96743784080884,17.5540346601814,65.4343208072684,21.4517804490836,23.0427750818147,44.075318248092,55.7165607484204,58.9550872199045,13389.4129365079
IDN,"Indonesia",2016,931877364037.698,3521.46943457574,902045435913.47,264627418,170835000830.242,177886012744.865,135653000000,144490000000,37.4213418023318,8234324959.97201,2.64,6.31,2.78,2.35,11.6088464408771,14.196669725848,66.963941568651,22.2766601981247,19.2890340293455,46.860340946238,53.0182758697207,57.3074203956785,13308.3268020542
IDN,"Indonesia",2017,1015618744159.73,3798.88326174526,983437956196.751,267346658,194777319195.676,204924485909.157,156925000000,168811000000,39.3554970704606,11434768728.767,2.06,5.86,1.95,2.28,10.9918137066306,16.241743460686,64.8783481694778,23.1861009068638,21.8451876585303,41.8775192324309,53.4785492960146,53.2649669836767,13380.8338788891
IDN,"Indonesia",2018,1042271532988.63,3860.95353090726,1011212626753.14,269951846,230045612385.068,218905647886.556,188708000000,180124000000,43.0743089552002,-6713373307.24594,2,6.25,1.9,2.29,10.2087283524839,16.7375057190953,65.0161590890692,20.4488168282196,23.3100286060793,43.11955368942,52.6781371957104,52.5205985961359,14236.9387734818
IDN,"Indonesia",2019,1119099871350.2,4106.94856160358,1085078650166.28,272489381,213034646334.827,208057763659.252,171276000000,167683000000,37.6277775357108,-4133324477.52497,2,6.71,1.82,2.57,10.6159984251183,13.7156912647506,68.0255656080384,20.3034623063575,20.3380217373565,46.2914435756783,51.7816833329234,50.5619776900269,14147.6713605454
IDN,"Indonesia",2020,1059054842698.48,3853.70288774146,1029975056927.45,274814866,165646843301.933,183546577017.375,141622000000,163306000000,32.9721754002427,18545794316.1108,2.04,6.29,1.8,2.74,12.6098405783724,11.149188973912,68.7817832555257,23.6096962763976,15.6268808662289,46.614182661618,50.1476368998546,49.6220518627957,14582.2034678177
IDN,"Indonesia",2021,1186509691086.73,4287.17313995098,1154297486861.71,276758053,222923845055.988,254109508154.492,196190000000,231506000000,40.2047582749671,29207502575.0115,1.83,6.02,1.68,2.3,11.5637815053867,14.6998679392045,65.4182637094155,23.5125195396358,19.4540368706185,44.9007416009427,47.524395344468,45.6329160210944,14308.1439011897
IDN,"Indonesia",2022,1319101183380.15,4730.83484836107,1283471297572.5,278830529,276506804558.242,323218198016.355,237447000000,291979000000,45.4646701959453,42715082770.478,1.83,5.82,1.74,2.13,10.997103973879,18.8732789978409,62.3837672523054,20.3646571620358,24.2968093578513,42.5938743692822,46.183746331895,44.6653637148812,14849.8539362105
IDN,"Indonesia",2023,1371166925749.88,4876.2992959843,1334894358408.48,281190067,269460535788.982,299031805850.549,221886000000,258857000000,41.4604765447233,28593267733.9316,,,,,11.814123641417,17.9877850983913,62.9973718454102,19.5934434193276,22.988404985231,44.7116211411318,47.2303914866425,42.6727948722188,15236.8846620506
IDN,"Indonesia",2024,1396301788461.69,4925.43644992666,1360120805360.24,283487931,286245903350.957,311510024778.671,233659000000,264706000000,42.809937870822,21353512597.2944,,,,,11.8565859214946,17.3140307897375,62.4384274596268,19.8211695211197,20.8482942182543,44.8599060940036,,,15855.4482866711
IND,"India",2015,2103588360044.94,1583.99815907985,2079182865637.81,1328024498,465097595426.184,416787940847.812,394131000000,267951000000,41.9229138658647,-63249171394.8497,7.32,9.75,7,7.18,5.2439586896853,26.777350937984,47.9223654890216,11.3300090451308,11.8719127202525,68.7631584732676,54.6411903202234,64.8308877333434,64.1519444632786
